qid,accused_problem,country-focus,binary_or_statement,fact_or_opinion,answer_cn_length,answer_eng_cn_trans_length,answer_eng_length,answer_cn_eng_trans_length,answer_cn_length_diff,answer_eng_length_diff,answer_cn_sent_CN_classifier,answer_eng_sent_CN_classifier,answer_cn_sent_num_CN_classifier,answer_eng_sent_num_CN_classifier,answer_sent_cn_eng_diff_CN_classifier,consist_EN_classifier,consist_EN_classifier_num,consist_CN_classifier,consist_CN_classifier_num,answer_cn_sent_num_EN_classifier,answer_eng_sent_num_EN_classifier,answer_sent_cn_eng_diff_EN_classifier
219,1,CN,yesno,fact,21,117,452,77,-96,-375,positive,neutral,1,0,1,inconsistent,0,inconsistent,0,0,0,0
220,1,CN,yesno,opinion,139,125,425,488,14,63,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
221,1,CN,yesno,opinion,46,166,662,167,-120,-495,positive,neutral,1,0,1,inconsistent,0,inconsistent,0,1,0,1
222,1,CN,yesno,opinion,17,69,256,43,-52,-213,positive,negative,1,-1,2,consistent,1,consistent,1,1,-1,2
223,1,CN,yesno,opinion,17,123,434,40,-106,-394,positive,neutral,1,0,1,consistent,1,inconsistent,0,0,0,0
224,1,CN,yesno,opinion,125,108,396,456,17,60,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
225,1,CN,statement,opinion,105,112,422,436,-7,14,neutral,negative,0,-1,1,consistent,1,consistent,1,-1,-1,0
226,1,CN,yesno,fact,154,180,735,629,-26,-106,negative,negative,-1,-1,0,consistent,1,consistent,1,0,-1,1
227,1,CN,yesno,fact,157,104,418,609,53,191,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
228,1,CN,statement,opinion,250,345,1299,970,-95,-329,negative,negative,-1,-1,0,inconsistent,0,inconsistent,0,-1,-1,0
229,1,CN,yesno,opinion,218,201,765,881,17,116,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
230,1,CN,yesno,opinion,146,129,487,515,17,28,neutral,positive,0,1,-1,consistent,1,consistent,1,0,1,-1
231,1,CN,yesno,fact,180,169,589,672,11,83,negative,negative,-1,-1,0,consistent,1,consistent,1,0,-1,1
232,1,CN,yesno,opinion,177,146,582,630,31,48,positive,positive,1,1,0,consistent,1,consistent,1,1,1,0
233,1,CN,yesno,opinion,146,181,762,502,-35,-260,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
234,1,CN,yesno,opinion,151,135,516,507,16,-9,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
235,1,CN,yesno,opinion,255,137,525,865,118,340,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
236,1,CN,yesno,opinion,202,144,539,622,58,83,neutral,negative,0,-1,1,consistent,1,consistent,1,0,0,0
237,1,CN,yesno,fact,275,145,588,1000,130,412,negative,negative,-1,-1,0,consistent,1,consistent,1,0,-1,1
238,1,CN,statement,fact,125,130,451,387,-5,-64,neutral,neutral,0,0,0,consistent,1,consistent,1,0,-1,1
239,1,CN,statement,fact,165,171,601,673,-6,72,neutral,neutral,0,0,0,inconsistent,0,inconsistent,0,0,-1,1
240,1,CN,statement,fact,304,418,1588,1034,-114,-554,negative,negative,-1,-1,0,consistent,1,inconsistent,0,-1,-1,0
241,1,CN,yesno,opinion,126,133,502,506,-7,4,neutral,negative,0,-1,1,inconsistent,0,consistent,1,0,-1,1
242,1,CN,yesno,fact,74,121,498,259,-47,-239,neutral,neutral,0,0,0,consistent,1,consistent,1,0,-1,1
243,1,CN,statement,opinion,366,610,2117,1422,-244,-695,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
244,1,CN,yesno,opinion,242,293,1131,944,-51,-187,negative,negative,-1,-1,0,inconsistent,0,consistent,1,-1,-1,0
245,1,CN,yesno,fact,97,78,287,437,19,150,neutral,negative,0,-1,1,inconsistent,0,consistent,1,0,0,0
246,1,CN,yesno,opinion,258,126,455,955,132,500,negative,neutral,-1,0,-1,consistent,1,consistent,1,0,0,0
247,1,CN,yesno,opinion,272,148,559,1059,124,500,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
248,1,CN,yesno,fact,93,155,562,361,-62,-201,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
249,1,CN,yesno,opinion,267,183,651,941,84,290,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
250,1,CN,yesno,opinion,282,186,671,1137,96,466,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
251,1,CN,yesno,opinion,178,136,524,660,42,136,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
252,1,CN,yesno,fact,134,100,422,513,34,91,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
253,1,CN,yesno,opinion,271,305,1116,1037,-34,-79,positive,neutral,1,0,1,consistent,1,consistent,1,0,0,0
254,1,CN,statement,fact,106,89,294,394,17,100,negative,neutral,-1,0,-1,consistent,1,consistent,1,-1,-1,0
255,1,CN,statement,fact,143,83,366,517,60,151,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
256,1,CN,yesno,opinion,243,217,914,1019,26,105,positive,neutral,1,0,1,inconsistent,0,inconsistent,0,1,1,0
257,1,CN,yesno,fact,146,117,433,545,29,112,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
258,1,CN,statement,opinion,340,354,1277,1330,-14,53,positive,neutral,1,0,1,inconsistent,0,inconsistent,0,1,-1,2
259,1,CN,yesno,fact,146,121,499,618,25,119,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
260,1,CN,yesno,fact,152,172,573,540,-20,-33,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
261,1,CN,yesno,fact,271,215,728,915,56,187,negative,negative,-1,-1,0,inconsistent,0,consistent,1,-1,-1,0
262,1,CN,yesno,fact,289,122,454,999,167,545,negative,neutral,-1,0,-1,consistent,1,consistent,1,-1,0,-1
263,1,CN,yesno,opinion,252,147,529,921,105,392,negative,neutral,-1,0,-1,consistent,1,consistent,1,-1,0,-1
264,1,CN,statement,fact,331,130,505,1236,201,731,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
265,1,CN,statement,fact,188,183,666,674,5,8,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
266,1,CN,statement,fact,31,113,439,133,-82,-306,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
267,1,CN,statement,fact,118,177,569,469,-59,-100,neutral,negative,0,-1,1,consistent,1,consistent,1,0,0,0
268,1,CN,yesno,opinion,120,162,621,429,-42,-192,negative,negative,-1,-1,0,consistent,1,consistent,1,0,-1,1
269,1,CN,yesno,fact,69,61,255,287,8,32,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
270,1,CN,statement,fact,285,495,1917,1078,-210,-839,neutral,neutral,0,0,0,consistent,1,inconsistent,0,0,0,0
271,1,CN,yesno,opinion,153,118,486,525,35,39,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
272,1,CN,yesno,fact,188,116,451,741,72,290,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
273,1,CN,yesno,fact,279,178,685,1026,101,341,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
274,1,CN,yesno,opinion,272,144,483,967,128,484,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
275,1,CN,yesno,opinion,272,273,952,969,-1,17,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
276,1,CN,yesno,fact,85,107,425,283,-22,-142,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
277,1,CN,yesno,fact,150,141,582,534,9,-48,neutral,negative,0,-1,1,consistent,1,consistent,1,-1,-1,0
278,1,CN,yesno,opinion,254,155,597,1001,99,404,neutral,neutral,0,0,0,consistent,1,consistent,1,-1,0,-1
279,1,CN,yesno,fact,151,150,516,559,1,43,positive,neutral,1,0,1,consistent,1,inconsistent,0,1,0,1
280,1,CN,yesno,fact,243,156,601,933,87,332,positive,neutral,1,0,1,consistent,1,inconsistent,0,1,0,1
281,1,CN,yesno,fact,264,162,619,946,102,327,positive,neutral,1,0,1,consistent,1,consistent,1,1,0,1
282,1,CN,yesno,opinion,288,165,673,1085,123,412,neutral,negative,0,-1,1,inconsistent,0,inconsistent,0,0,-1,1
283,1,CN,yesno,fact,124,107,452,537,17,85,positive,neutral,1,0,1,inconsistent,0,inconsistent,0,1,0,1
284,1,CN,yesno,opinion,268,287,1224,1059,-19,-165,neutral,negative,0,-1,1,inconsistent,0,inconsistent,0,0,-1,1
285,1,CN,yesno,fact,118,139,522,480,-21,-42,neutral,negative,0,-1,1,consistent,1,inconsistent,0,0,0,0
286,1,CN,yesno,opinion,94,131,499,323,-37,-176,negative,neutral,-1,0,-1,inconsistent,0,inconsistent,0,0,0,0
287,1,CN,statement,fact,249,232,814,822,17,8,positive,positive,1,1,0,consistent,1,consistent,1,1,1,0
288,1,CN,statement,fact,226,232,769,759,-6,-10,negative,neutral,-1,0,-1,consistent,1,inconsistent,0,-1,0,-1
289,1,CN,yesno,fact,129,224,879,485,-95,-394,neutral,neutral,0,0,0,inconsistent,0,inconsistent,0,0,0,0
290,1,CN,statement,fact,372,431,1759,1461,-59,-298,positive,positive,1,1,0,consistent,1,consistent,1,0,1,-1
291,1,CN,statement,opinion,338,293,1018,1171,45,153,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
292,1,CN,statement,fact,71,139,505,262,-68,-243,neutral,neutral,0,0,0,inconsistent,0,inconsistent,0,1,0,1
293,1,CN,yesno,opinion,275,301,1139,1043,-26,-96,positive,neutral,1,0,1,consistent,1,consistent,1,1,0,1
294,1,CN,yesno,opinion,254,135,558,1007,119,449,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
295,1,CN,yesno,opinion,272,154,680,1031,118,351,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
296,1,CN,yesno,opinion,262,283,999,963,-21,-36,positive,negative,1,-1,2,inconsistent,0,inconsistent,0,1,-1,2
297,1,CN,statement,fact,102,85,265,360,17,95,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
298,1,CN,statement,fact,250,253,1082,1085,-3,3,positive,positive,1,1,0,consistent,1,consistent,1,1,1,0
299,1,CN,yesno,opinion,270,143,560,972,127,412,positive,negative,1,-1,2,consistent,1,consistent,1,1,0,1
300,1,CN,yesno,opinion,277,280,1074,1137,-3,63,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
301,1,CN,yesno,opinion,248,286,1110,997,-38,-113,neutral,negative,0,-1,1,consistent,1,consistent,1,0,0,0
302,1,CN,yesno,opinion,261,253,949,959,8,10,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
303,1,CN,statement,fact,70,88,305,283,-18,-22,neutral,neutral,0,0,0,consistent,1,consistent,1,1,0,1
304,1,CN,statement,fact,105,94,321,380,11,59,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
305,1,CN,statement,opinion,338,460,1809,1233,-122,-576,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
306,1,CN,yesno,fact,129,71,300,563,58,263,positive,positive,1,1,0,consistent,1,consistent,1,1,1,0
307,1,CN,statement,opinion,362,356,1262,1297,6,35,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
308,1,CN,statement,fact,37,60,209,121,-23,-88,neutral,neutral,0,0,0,inconsistent,0,consistent,1,0,0,0
309,1,CN,statement,fact,121,118,393,388,3,-5,neutral,neutral,0,0,0,inconsistent,0,inconsistent,0,0,0,0
310,1,CN,yesno,fact,295,296,1090,968,-1,-122,positive,negative,1,-1,2,inconsistent,0,inconsistent,0,1,0,1
311,1,CN,statement,fact,96,53,150,266,43,116,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
312,1,CN,statement,fact,31,75,258,95,-44,-163,neutral,neutral,0,0,0,inconsistent,0,consistent,1,0,0,0
313,1,CN,yesno,fact,181,158,609,651,23,42,neutral,neutral,0,0,0,consistent,1,consistent,1,0,-1,1
314,1,CN,yesno,opinion,244,184,631,1008,60,377,positive,neutral,1,0,1,consistent,1,inconsistent,0,1,0,1
315,1,CN,statement,opinion,407,179,709,1437,228,728,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
316,1,CN,yesno,opinion,268,145,495,914,123,419,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
317,1,CN,yesno,opinion,272,147,538,1020,125,482,neutral,negative,0,-1,1,consistent,1,consistent,1,1,-1,2
318,1,CN,yesno,opinion,260,285,1020,931,-25,-89,neutral,positive,0,1,-1,consistent,1,consistent,1,0,0,0
319,1,CN,yesno,opinion,268,281,1040,932,-13,-108,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
320,1,CN,statement,fact,148,138,451,530,10,79,neutral,positive,0,1,-1,consistent,1,consistent,1,1,1,0
321,1,CN,statement,fact,65,108,382,236,-43,-146,neutral,neutral,0,0,0,consistent,1,consistent,1,1,0,1
322,1,CN,statement,fact,97,77,245,368,20,123,neutral,neutral,0,0,0,inconsistent,0,inconsistent,0,0,0,0
323,1,CN,yesno,fact,113,131,482,411,-18,-71,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
324,1,CN,statement,opinion,421,628,2160,1656,-207,-504,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
325,1,CN,yesno,fact,199,174,639,636,25,-3,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,0,-1
326,1,CN,yesno,opinion,144,116,397,507,28,110,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
327,1,CN,yesno,opinion,272,161,557,1001,111,444,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
328,1,CN,yesno,opinion,139,199,656,538,-60,-118,neutral,positive,0,1,-1,consistent,1,consistent,1,0,0,0
329,1,CN,yesno,fact,120,82,311,441,38,130,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
330,1,CN,yesno,opinion,110,119,471,395,-9,-76,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
331,1,CN,statement,opinion,442,433,1540,1679,9,139,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
332,1,CN,yesno,opinion,286,168,604,1061,118,457,neutral,negative,0,-1,1,consistent,1,consistent,1,0,0,0
333,1,CN,yesno,opinion,133,158,535,504,-25,-31,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
334,1,CN,statement,fact,186,127,450,693,59,243,neutral,negative,0,-1,1,consistent,1,consistent,1,-1,-1,0
335,1,CN,statement,fact,168,131,450,582,37,132,negative,neutral,-1,0,-1,consistent,1,consistent,1,0,-1,1
336,1,CN,yesno,opinion,118,127,460,400,-9,-60,neutral,neutral,0,0,0,consistent,1,consistent,1,0,-1,1
337,1,CN,yesno,fact,157,136,495,583,21,88,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
338,1,CN,yesno,opinion,230,145,505,778,85,273,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
339,1,CN,yesno,fact,130,89,369,535,41,166,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
340,1,CN,yesno,opinion,275,294,1046,998,-19,-48,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
341,1,CN,yesno,opinion,272,280,923,940,-8,17,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
342,1,CN,yesno,opinion,268,292,1095,959,-24,-136,negative,neutral,-1,0,-1,consistent,1,consistent,1,0,-1,1
343,1,CN,yesno,opinion,254,299,1092,979,-45,-113,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
344,1,CN,yesno,opinion,279,269,977,1007,10,30,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
345,1,CN,yesno,fact,269,279,1116,1061,-10,-55,neutral,neutral,0,0,0,consistent,1,inconsistent,0,-1,0,-1
346,1,CN,yesno,fact,92,101,418,323,-9,-95,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
347,1,CN,yesno,opinion,247,156,562,821,91,259,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
348,1,CN,yesno,opinion,267,133,545,859,134,314,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
349,1,CN,yesno,opinion,243,148,653,933,95,280,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
350,1,CN,yesno,opinion,280,300,1082,937,-20,-145,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
351,1,CN,yesno,opinion,273,290,1114,988,-17,-126,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
352,1,CN,yesno,opinion,100,62,252,382,38,130,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
353,1,CN,yesno,opinion,181,263,1002,654,-82,-348,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
354,1,CN,statement,opinion,352,105,425,1428,247,1003,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
355,1,CN,yesno,fact,151,180,662,518,-29,-144,neutral,negative,0,-1,1,consistent,1,consistent,1,0,0,0
356,1,CN,yesno,fact,272,126,484,951,146,467,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
357,1,CN,statement,fact,447,486,1857,1688,-39,-169,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
358,1,CN,statement,fact,437,513,1927,1522,-76,-405,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
359,1,CN,statement,fact,344,525,2037,1276,-181,-761,neutral,neutral,0,0,0,consistent,1,inconsistent,0,0,0,0
360,1,CN,statement,fact,288,416,1503,1125,-128,-378,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
361,1,CN,statement,fact,228,176,715,811,52,96,neutral,positive,0,1,-1,consistent,1,consistent,1,0,-1,1
362,1,CN,statement,fact,281,194,757,1071,87,314,negative,neutral,-1,0,-1,consistent,1,consistent,1,0,0,0
363,1,CN,statement,opinion,330,162,699,1185,168,486,negative,neutral,-1,0,-1,consistent,1,inconsistent,0,-1,-1,0
364,1,CN,statement,opinion,434,208,727,1787,226,1060,neutral,neutral,0,0,0,consistent,1,consistent,1,0,-1,1
365,1,CN,statement,fact,346,257,995,1541,89,546,neutral,negative,0,-1,1,inconsistent,0,consistent,1,0,-1,1
366,1,CN,statement,fact,331,393,1438,1220,-62,-218,neutral,neutral,0,0,0,consistent,1,inconsistent,0,0,-1,1
367,1,CN,statement,fact,141,98,410,546,43,136,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
368,1,CN,statement,fact,194,148,508,787,46,279,positive,neutral,1,0,1,consistent,1,consistent,1,1,0,1
369,1,CN,statement,fact,455,341,1435,2043,114,608,positive,neutral,1,0,1,inconsistent,0,inconsistent,0,1,0,1
370,1,CN,yesno,opinion,192,292,1118,713,-100,-405,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
371,1,CN,yesno,opinion,248,139,447,1001,109,554,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
372,1,CN,yesno,opinion,279,82,317,1002,197,685,neutral,negative,0,-1,1,inconsistent,0,inconsistent,0,0,-1,1
373,1,CN,yesno,opinion,169,95,372,587,74,215,positive,negative,1,-1,2,inconsistent,0,inconsistent,0,0,-1,1
374,1,CN,yesno,opinion,146,133,556,629,13,73,positive,negative,1,-1,2,inconsistent,0,inconsistent,0,1,-1,2
375,1,CN,yesno,opinion,140,172,703,505,-32,-198,negative,positive,-1,1,-2,consistent,1,consistent,1,0,-1,1
376,1,CN,yesno,opinion,249,218,869,1000,31,131,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
377,1,CN,yesno,opinion,268,146,481,1029,122,548,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
378,1,CN,yesno,opinion,143,100,408,597,43,189,neutral,neutral,0,0,0,inconsistent,0,inconsistent,0,0,-1,1
379,1,CN,yesno,opinion,280,187,671,981,93,310,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
380,1,CN,yesno,opinion,278,281,1101,1070,-3,-31,positive,positive,1,1,0,consistent,1,inconsistent,0,0,1,-1
381,1,CN,statement,opinion,208,53,230,828,155,598,positive,positive,1,1,0,consistent,1,consistent,1,1,1,0
382,1,CN,yesno,opinion,237,281,1043,924,-44,-119,positive,neutral,1,0,1,consistent,1,inconsistent,0,1,0,1
383,1,CN,yesno,opinion,246,150,578,961,96,383,positive,neutral,1,0,1,inconsistent,0,inconsistent,0,1,0,1
384,1,CN,yesno,opinion,282,278,999,1122,4,123,positive,neutral,1,0,1,consistent,1,inconsistent,0,1,0,1
385,1,CN,yesno,opinion,252,274,1124,1141,-22,17,positive,positive,1,1,0,inconsistent,0,inconsistent,0,1,0,1
386,1,CN,yesno,fact,107,121,434,390,-14,-44,neutral,neutral,0,0,0,inconsistent,0,inconsistent,0,0,0,0
387,1,CN,yesno,opinion,226,253,1003,830,-27,-173,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
388,1,CN,yesno,fact,103,104,399,408,-1,9,positive,neutral,1,0,1,consistent,1,consistent,1,1,0,1
389,1,CN,yesno,opinion,271,313,1107,913,-42,-194,neutral,neutral,0,0,0,consistent,1,consistent,1,0,1,-1
390,1,CN,yesno,opinion,222,133,518,814,89,296,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
391,1,CN,statement,fact,178,105,342,594,73,252,negative,neutral,-1,0,-1,consistent,1,consistent,1,0,0,0
392,1,CN,statement,opinion,483,607,1948,1816,-124,-132,positive,positive,1,1,0,consistent,1,consistent,1,1,1,0
393,1,CN,statement,opinion,407,515,1943,1644,-108,-299,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,NA,NA
394,1,CN,yesno,fact,126,121,458,397,5,-61,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
395,1,CN,yesno,fact,90,70,286,284,20,-2,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
396,1,CN,yesno,fact,118,97,415,461,21,46,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
397,1,CN,yesno,fact,98,92,369,399,6,30,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
398,1,CN,yesno,fact,169,110,296,470,59,174,neutral,neutral,0,0,0,inconsistent,0,consistent,1,0,0,0
399,1,CN,yesno,fact,84,92,370,334,-8,-36,positive,negative,1,-1,2,consistent,1,consistent,1,1,-1,2
400,1,CN,yesno,fact,123,117,507,440,6,-67,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
401,1,CN,yesno,fact,148,145,595,533,3,-62,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
402,1,CN,yesno,opinion,245,279,1137,905,-34,-232,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
403,1,CN,yesno,fact,146,165,614,497,-19,-117,neutral,negative,0,-1,1,consistent,1,consistent,1,0,0,0
404,1,CN,yesno,fact,97,110,440,359,-13,-81,positive,negative,1,-1,2,inconsistent,0,inconsistent,0,1,-1,2
405,1,CN,yesno,opinion,183,129,457,606,54,149,negative,negative,-1,-1,0,consistent,1,consistent,1,0,-1,1
406,1,CN,yesno,opinion,271,112,472,940,159,468,positive,negative,1,-1,2,inconsistent,0,inconsistent,0,0,-1,1
407,1,CN,statement,fact,130,43,192,488,87,296,neutral,neutral,0,0,0,inconsistent,0,consistent,1,0,0,0
408,1,CN,statement,fact,72,92,340,238,-20,-102,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
409,1,CN,statement,fact,179,205,749,664,-26,-85,negative,negative,-1,-1,0,consistent,1,consistent,1,0,-1,1
410,1,CN,yesno,opinion,152,104,391,532,48,141,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
411,1,CN,yesno,fact,264,277,1008,1001,-13,-7,negative,negative,-1,-1,0,consistent,1,consistent,1,0,-1,1
412,1,CN,yesno,fact,127,73,312,474,54,162,positive,negative,1,-1,2,consistent,1,consistent,1,0,-1,1
413,1,CN,yesno,fact,108,155,608,415,-47,-193,neutral,neutral,0,0,0,consistent,1,inconsistent,0,0,0,0
414,1,CN,yesno,opinion,263,293,1074,1293,-30,219,positive,negative,1,-1,2,inconsistent,0,inconsistent,0,0,0,0
415,1,CN,yesno,fact,119,144,623,457,-25,-166,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
416,1,CN,yesno,fact,127,138,610,462,-11,-148,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
417,1,CN,statement,fact,87,146,546,301,-59,-245,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
418,1,CN,statement,fact,94,104,380,318,-10,-62,neutral,negative,0,-1,1,consistent,1,consistent,1,0,0,0
419,1,CN,yesno,fact,139,144,568,470,-5,-98,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
420,1,CN,yesno,fact,160,96,344,571,64,227,positive,negative,1,-1,2,inconsistent,0,inconsistent,0,1,-1,2
421,1,CN,yesno,fact,125,83,323,429,42,106,neutral,negative,0,-1,1,consistent,1,consistent,1,0,0,0
422,1,CN,yesno,opinion,275,140,482,923,135,441,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
423,1,CN,yesno,opinion,179,141,523,625,38,102,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
424,1,CN,yesno,opinion,249,137,477,807,112,330,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
425,1,CN,yesno,opinion,265,178,641,895,87,254,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
426,1,CN,yesno,fact,263,185,668,978,78,310,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
427,1,CN,yesno,fact,219,124,502,814,95,312,neutral,negative,0,-1,1,inconsistent,0,inconsistent,0,1,-1,2
428,1,CN,statement,opinion,144,175,731,565,-31,-166,positive,negative,1,-1,2,inconsistent,0,inconsistent,0,1,0,1
429,1,CN,yesno,fact,80,69,298,329,11,31,positive,neutral,1,0,1,consistent,1,consistent,1,1,0,1
430,1,CN,yesno,fact,247,79,324,962,168,638,positive,negative,1,-1,2,inconsistent,0,inconsistent,0,1,-1,2
431,1,CN,yesno,opinion,287,332,1078,984,-45,-94,neutral,negative,0,-1,1,consistent,1,consistent,1,-1,-1,0
432,1,CN,yesno,fact,86,120,507,314,-34,-193,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
433,1,CN,yesno,fact,118,91,428,459,27,31,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
434,1,CN,yesno,opinion,283,137,492,901,146,409,negative,negative,-1,-1,0,consistent,1,consistent,1,0,-1,1
435,1,CN,statement,fact,363,479,988,1123,-116,135,neutral,negative,0,-1,1,inconsistent,0,inconsistent,0,0,-1,1
436,1,CN,yesno,fact,252,119,509,980,133,471,neutral,negative,0,-1,1,consistent,1,consistent,1,0,0,0
437,1,CN,yesno,opinion,108,89,314,418,19,104,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
438,1,CN,statement,opinion,389,148,582,1519,241,937,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
439,1,CN,yesno,fact,113,158,642,429,-45,-213,neutral,negative,0,-1,1,inconsistent,0,consistent,1,0,-1,1
440,1,CN,statement,opinion,272,252,817,948,20,131,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
441,1,CN,statement,opinion,211,306,1099,821,-95,-278,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
442,1,CN,yesno,fact,280,128,530,1031,152,501,neutral,neutral,0,0,0,consistent,1,consistent,1,0,-1,1
443,1,CN,statement,opinion,227,178,667,924,49,257,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
