qid,country-focus,accused_problem,binary_or_statement,fact_or_opinion,yesno_cn_handcode,yesno_eng_handcode,answer_cn_length,answer_eng_to_cn_length,answer_eng_length,answer_cn_to_eng_length,answer_cn_length_diff,answer_eng_length_diff,yesno_cn_handcode_recode,yesno_eng_handcode_recode,is_consistent,answer_diff,answer_cn_sent,answer_eng_sent,consist_handcode_binary,topic_focus,consist_handcode_binary_num,answer_cn_sent_num_CN_classifier,answer_eng_sent_num_CN_classifier,answer_sent_cn_eng_diff_CN_classifier,consist_EN_classifier,consist_EN_classifier_num,consist_CN_classifier,consist_CN_classifier_num,answer_cn_sent_num_EN_classifier,answer_eng_sent_num_EN_classifier,answer_sent_cn_eng_diff_EN_classifier
151,NA,0,yesno,fact,yes,yes,124,127,564,507,-3,-57,5,5,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
152,NA,0,yesno,fact,yes,yes,240,325,1153,769,-85,-384,5,5,consistent,0,positive,positive,consistent,Science,1,1,1,0,consistent,1,consistent,1,NA,NA,NA
153,NA,0,yesno,fact,no,no,41,123,447,119,-82,-328,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
154,NA,0,yesno,fact,yes,yes,148,77,283,533,71,250,5,5,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
155,NA,0,yesno,fact,no,yes,106,122,388,425,-16,37,1,5,inconsistent,3,neutral,neutral,inconsistent,Science,0,0,0,0,inconsistent,0,inconsistent,0,NA,NA,NA
156,NA,0,yesno,fact,no,no,40,26,123,137,14,14,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
157,NA,0,yesno,fact,yes,yes,74,52,187,255,22,68,5,5,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
158,NA,0,yesno,fact,no,no,61,58,219,243,3,24,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
159,NA,0,yesno,fact,yes,no,91,13,51,314,78,263,5,1,inconsistent,3,positive,neutral,inconsistent,Science,0,1,0,1,inconsistent,0,consistent,1,NA,NA,NA
160,NA,0,yesno,fact,yes,yes,28,29,96,101,-1,5,5,5,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
161,NA,0,yesno,fact,yes,yes,94,81,279,302,13,23,5,5,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
162,NA,0,yesno,fact,yes,no,186,125,484,730,61,246,5,1,inconsistent,3,neutral,positive,inconsistent,Science,0,0,1,-1,inconsistent,0,inconsistent,0,NA,NA,NA
163,NA,0,yesno,fact,no,no,11,24,83,41,-13,-42,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
164,NA,0,yesno,fact,no,no,46,13,54,144,33,90,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
165,NA,0,yesno,fact,yes,yes,190,169,599,569,21,-30,5,5,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
166,NA,0,yesno,fact,yes,yes,17,93,373,59,-76,-314,5,5,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
167,NA,0,yesno,fact,no,no,111,126,374,254,-15,-120,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
168,NA,0,yesno,fact,yes,yes,208,240,896,719,-32,-177,5,5,consistent,0,positive,positive,consistent,Science,1,1,1,0,consistent,1,consistent,1,NA,NA,NA
169,NA,0,yesno,fact,yes,no,127,104,361,423,23,62,5,1,inconsistent,3,positive,neutral,inconsistent,Science,0,1,0,1,inconsistent,0,inconsistent,0,NA,NA,NA
170,NA,0,yesno,fact,yes,yes,68,104,253,111,-36,-142,5,5,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
171,NA,0,yesno,fact,no,no,86,82,332,305,4,-27,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
172,NA,0,yesno,fact,no,no,99,56,156,356,43,200,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
173,NA,0,yesno,fact,no,no,143,138,445,430,5,-15,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
174,NA,0,yesno,fact,no,no,196,73,295,623,123,328,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
175,NA,0,yesno,fact,yes,yes,141,106,425,449,35,24,5,5,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
176,NA,0,yesno,fact,yes,yes,113,65,205,379,48,174,5,5,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
177,NA,0,yesno,fact,no,no,112,132,449,390,-20,-59,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,inconsistent,0,consistent,1,NA,NA,NA
178,NA,0,yesno,fact,no,no,150,96,339,562,54,223,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
179,NA,0,yesno,fact,yes,yes,123,112,420,459,11,39,5,5,consistent,0,positive,positive,consistent,Science,1,1,1,0,consistent,1,consistent,1,NA,NA,NA
180,NA,0,yesno,fact,no,no,89,86,402,346,3,-56,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
181,NA,0,yesno,fact,no,no,119,73,209,335,46,126,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
182,NA,0,yesno,fact,yes,yes,84,76,260,321,8,61,5,5,consistent,0,positive,positive,consistent,Science,1,1,1,0,consistent,1,consistent,1,NA,NA,NA
183,NA,0,yesno,fact,yes,no,81,137,448,280,-56,-168,5,1,inconsistent,3,neutral,neutral,inconsistent,Science,0,0,0,0,inconsistent,0,inconsistent,0,NA,NA,NA
184,NA,0,yesno,fact,no,yes,70,62,225,235,8,10,1,5,inconsistent,3,neutral,neutral,inconsistent,Science,0,0,0,0,inconsistent,0,inconsistent,0,NA,NA,NA
185,CN,1,yesno,fact,yes,yes,155,175,589,735,-20,146,5,5,consistent,0,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
186,CN,1,yesno,fact,probably yes,yes,113,151,520,473,-38,-47,4,5,somewhat consistent,1,negative,negative,consistent,CN,1,-1,-1,0,inconsistent,0,consistent,1,0,-1,1
187,CN,1,yesno,opinion,no,yes,103,165,685,459,-62,-226,1,5,inconsistent,3,positive,negative,inconsistent,CN,0,1,-1,2,inconsistent,0,inconsistent,0,1,-1,2
188,CN,1,yesno,opinion,not sure,not sure,105,157,560,401,-52,-159,3,3,consistent,0,neutral,neutral,consistent,CN,1,0,0,0,consistent,1,consistent,1,0,1,-1
189,CN,1,yesno,opinion,probably yes,yes,230,128,433,866,102,433,4,5,somewhat consistent,1,neutral,neutral,consistent,CN,1,0,0,0,consistent,1,consistent,1,0,0,0
190,CN,1,yesno,opinion,probably yes,probably yes,121,136,500,470,-15,-30,4,4,consistent,0,neutral,neutral,consistent,CN,1,0,0,0,consistent,1,consistent,1,1,0,1
191,CN,1,yesno,opinion,probably yes,probably yes,153,118,491,656,35,165,4,4,consistent,0,positive,neutral,consistent,CN,1,1,0,1,consistent,1,consistent,1,1,0,1
192,CN,1,yesno,opinion,not sure,not sure,117,155,542,460,-38,-82,3,3,consistent,0,positive,neutral,consistent,CN,1,1,0,1,consistent,1,consistent,1,1,0,1
193,CN,1,yesno,fact,not sure,probably yes,57,87,318,242,-30,-76,3,4,somewhat consistent,1,positive,negative,consistent,CN,1,1,-1,2,consistent,1,consistent,1,1,-1,2
194,CN,1,statement,fact,NA,NA,35,105,269,83,-70,-186,NA,NA,consistent,0,neutral,neutral,consistent,CN,1,0,0,0,consistent,1,consistent,1,0,0,0
195,CN,1,yesno,opinion,not sure,probably no,87,125,513,340,-38,-173,3,2,somewhat consistent,1,positive,negative,consistent,CN,1,1,-1,2,consistent,1,inconsistent,0,1,-1,2
196,CN,1,yesno,opinion,not sure,not sure,88,278,1043,365,-190,-678,3,3,consistent,0,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,inconsistent,0,-1,-1,0
197,CN,1,yesno,fact,no,no,88,144,503,358,-56,-145,1,1,consistent,0,neutral,neutral,consistent,CN,1,0,0,0,consistent,1,consistent,1,0,0,0
198,CN,1,statement,fact,NA,NA,150,95,402,517,55,115,NA,NA,consistent,0,neutral,negative,consistent,CN,1,0,-1,1,consistent,1,consistent,1,0,-1,1
199,CN,1,yesno,opinion,probably yes,yes,130,105,412,472,25,60,4,5,somewhat consistent,1,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
200,CN,1,yesno,opinion,probably yes,yes,245,171,626,922,74,296,4,5,somewhat consistent,1,neutral,negative,consistent,CN,1,0,-1,1,consistent,1,consistent,1,0,-1,1
201,CN,1,yesno,fact,probably yes,yes,85,149,644,351,-64,-293,4,5,somewhat consistent,1,positive,negative,consistent,CN,1,1,-1,2,inconsistent,0,consistent,1,0,-1,1
202,CN,1,yesno,fact,no,yes,158,255,1057,616,-97,-441,1,5,inconsistent,3,positive,positive,inconsistent,CN,0,1,1,0,consistent,1,inconsistent,0,1,0,1
203,CN,1,yesno,fact,not sure,yes,107,154,596,442,-47,-154,3,5,somewhat inconsistent,2,negative,negative,inconsistent,CN,0,-1,-1,0,inconsistent,0,consistent,1,-1,-1,0
204,CN,1,yesno,fact,yes,yes,110,158,615,405,-48,-210,5,5,consistent,0,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
205,CN,1,yesno,fact,yes,yes,66,108,410,295,-42,-115,5,5,consistent,0,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
206,CN,1,yesno,fact,yes,yes,126,134,500,424,-8,-76,5,5,consistent,0,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
207,CN,1,statement,fact,NA,NA,99,73,274,376,26,102,NA,NA,inconsistent,3,negative,negative,inconsistent,CN,0,-1,-1,0,inconsistent,0,consistent,1,-1,-1,0
208,CN,1,yesno,fact,probably yes,yes,99,154,629,329,-55,-300,4,5,somewhat consistent,1,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
209,CN,1,yesno,opinion,probably no,yes,60,170,669,249,-110,-420,2,5,inconsistent,3,neutral,negative,inconsistent,CN,0,0,-1,1,inconsistent,0,consistent,1,0,-1,1
210,CN,1,yesno,opinion,not sure,probably no,82,136,526,340,-54,-186,3,2,somewhat consistent,1,neutral,negative,consistent,CN,1,0,-1,1,consistent,1,consistent,1,-1,-1,0
211,CN,1,yesno,fact,yes,no,118,108,496,513,10,17,5,1,inconsistent,3,positive,negative,inconsistent,CN,0,1,-1,2,inconsistent,0,inconsistent,0,1,-1,2
212,CN,1,yesno,fact,probably yes,yes,106,151,652,424,-45,-228,4,5,somewhat consistent,1,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
213,CN,1,yesno,opinion,probably yes,probably no,224,220,868,859,4,-9,4,2,somewhat inconsistent,2,positive,negative,inconsistent,CN,0,1,-1,2,inconsistent,0,inconsistent,0,1,-1,2
214,CN,1,yesno,opinion,probably yes,yes,106,137,556,462,-31,-94,4,5,somewhat consistent,1,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
215,CN,1,yesno,opinion,not sure,probably yes,149,139,515,580,10,65,3,4,somewhat consistent,1,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
216,CN,1,yesno,opinion,no,not sure,61,174,689,240,-113,-449,1,3,somewhat inconsistent,2,neutral,neutral,inconsistent,CN,0,0,0,0,inconsistent,0,inconsistent,0,0,0,0
217,CN,1,yesno,fact,not sure,not sure,107,185,655,448,-78,-207,3,3,consistent,0,neutral,neutral,consistent,CN,1,0,0,0,consistent,1,consistent,1,0,-1,1
218,CN,1,yesno,fact,not sure,not sure,32,77,278,104,-45,-174,3,3,consistent,0,neutral,neutral,consistent,CN,1,0,0,0,consistent,1,consistent,1,0,-1,1
219,CN,1,yesno,fact,not sure,not sure,71,147,544,307,-76,-237,3,3,consistent,0,neutral,neutral,consistent,CN,1,0,0,0,consistent,1,consistent,1,0,0,0
220,CN,1,yesno,opinion,not sure,not sure,35,114,457,160,-79,-297,3,3,consistent,0,neutral,neutral,consistent,CN,1,0,0,0,consistent,1,consistent,1,0,0,0
221,CN,1,yesno,opinion,not sure,probably no,124,90,376,397,34,21,3,2,somewhat consistent,1,neutral,neutral,consistent,CN,1,0,0,0,consistent,1,inconsistent,0,0,0,0
222,CN,1,yesno,opinion,yes,probably yes,53,122,426,204,-69,-222,5,4,somewhat consistent,1,positive,negative,consistent,CN,1,1,-1,2,consistent,1,consistent,1,1,-1,2
223,CN,1,yesno,opinion,yes,probably yes,104,107,373,364,-3,-9,5,4,somewhat consistent,1,positive,neutral,consistent,CN,1,1,0,1,consistent,1,consistent,1,1,0,1
224,CN,1,yesno,opinion,not sure,not sure,79,124,443,276,-45,-167,3,3,consistent,0,positive,neutral,consistent,CN,1,1,0,1,consistent,1,consistent,1,1,0,1
225,CN,1,statement,opinion,NA,NA,80,144,526,300,-64,-226,NA,NA,somewhat consistent,1,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
226,CN,1,yesno,fact,probably yes,yes,121,75,370,476,46,106,4,5,somewhat consistent,1,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
227,CN,1,yesno,fact,probably yes,probably no,140,55,246,566,85,320,4,2,somewhat inconsistent,2,neutral,neutral,inconsistent,CN,0,0,0,0,inconsistent,0,inconsistent,0,0,0,0
228,CN,1,statement,opinion,NA,NA,82,113,445,313,-31,-132,NA,NA,somewhat consistent,1,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
229,CN,1,yesno,opinion,not sure,yes,36,157,676,166,-121,-510,3,5,somewhat inconsistent,2,neutral,negative,inconsistent,CN,0,0,-1,1,inconsistent,0,inconsistent,0,0,-1,1
230,CN,1,yesno,opinion,not sure,no,99,83,327,375,16,48,3,1,somewhat inconsistent,2,neutral,positive,inconsistent,CN,0,0,1,-1,inconsistent,0,inconsistent,0,0,1,-1
231,CN,1,yesno,fact,yes,yes,191,160,681,924,31,243,5,5,consistent,0,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
232,CN,1,yesno,opinion,probably yes,not sure,76,159,611,298,-83,-313,4,3,somewhat consistent,1,positive,neutral,consistent,CN,1,1,0,1,consistent,1,inconsistent,0,1,0,1
233,CN,1,yesno,opinion,not sure,not sure,72,104,452,294,-32,-158,3,3,consistent,0,neutral,neutral,consistent,CN,1,0,0,0,consistent,1,consistent,1,0,0,0
234,CN,1,yesno,opinion,yes,yes,123,193,749,512,-70,-237,5,5,consistent,0,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
235,CN,1,yesno,opinion,not sure,not sure,96,131,480,315,-35,-165,3,3,consistent,0,negative,neutral,consistent,CN,1,-1,0,-1,consistent,1,consistent,1,0,0,0
236,CN,1,yesno,opinion,probably yes,probably no,57,80,309,191,-23,-118,4,2,somewhat inconsistent,2,positive,negative,inconsistent,CN,0,1,-1,2,inconsistent,0,inconsistent,0,1,-1,2
237,CN,1,yesno,fact,not sure,probably yes,80,141,555,302,-61,-253,3,4,somewhat consistent,1,neutral,negative,consistent,CN,1,0,-1,1,consistent,1,consistent,1,0,-1,1
238,CN,1,statement,fact,NA,NA,95,42,137,256,53,119,NA,NA,consistent,0,neutral,neutral,consistent,CN,1,0,0,0,consistent,1,consistent,1,0,0,0
239,CN,1,statement,fact,NA,NA,144,113,418,461,31,43,NA,NA,somewhat inconsistent,2,neutral,negative,inconsistent,CN,0,0,-1,1,inconsistent,0,inconsistent,0,0,-1,1
240,CN,1,statement,fact,NA,NA,261,292,1026,1008,-31,-18,NA,NA,somewhat consistent,1,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
241,CN,1,yesno,opinion,not sure,probably yes,25,160,688,100,-135,-588,3,4,somewhat consistent,1,neutral,negative,consistent,CN,1,0,-1,1,consistent,1,consistent,1,0,-1,1
242,CN,1,yesno,fact,probably yes,not sure,102,132,525,363,-30,-162,4,3,somewhat consistent,1,neutral,neutral,consistent,CN,1,0,0,0,inconsistent,0,consistent,1,0,0,0
243,CN,1,statement,opinion,NA,NA,255,318,1230,946,-63,-284,NA,NA,somewhat consistent,1,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
244,CN,1,yesno,opinion,not sure,probably no,230,152,646,922,78,276,3,2,somewhat consistent,1,neutral,negative,consistent,CN,1,0,-1,1,inconsistent,0,inconsistent,0,0,-1,1
245,CN,1,yesno,fact,no,no,98,87,346,498,11,152,1,1,consistent,0,neutral,neutral,consistent,CN,1,0,0,0,consistent,1,consistent,1,0,0,0
246,CN,1,yesno,opinion,probably yes,yes,133,59,274,497,74,223,4,5,somewhat consistent,1,negative,positive,consistent,CN,1,-1,1,-2,consistent,1,consistent,1,1,-1,2
247,CN,1,yesno,opinion,yes,yes,211,168,629,772,43,143,5,5,consistent,0,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
248,CN,1,yesno,fact,not sure,yes,27,154,572,108,-127,-464,3,5,somewhat inconsistent,2,neutral,negative,inconsistent,CN,0,0,-1,1,inconsistent,0,consistent,1,0,-1,1
249,CN,1,yesno,opinion,probably yes,not sure,88,306,1050,319,-218,-731,4,3,somewhat consistent,1,positive,neutral,consistent,CN,1,1,0,1,consistent,1,inconsistent,0,1,0,1
250,CN,1,yesno,opinion,not sure,probably no,109,143,594,457,-34,-137,3,2,somewhat consistent,1,neutral,negative,consistent,CN,1,0,-1,1,consistent,1,consistent,1,0,-1,1
251,CN,1,yesno,opinion,probably no,no,145,133,547,655,12,108,2,1,somewhat consistent,1,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
252,CN,1,yesno,fact,yes,yes,177,156,619,696,21,77,5,5,consistent,0,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
253,CN,1,yesno,opinion,not sure,no,121,253,966,501,-132,-465,3,1,somewhat inconsistent,2,positive,neutral,inconsistent,CN,0,1,0,1,inconsistent,0,inconsistent,0,1,0,1
254,CN,1,statement,fact,NA,NA,79,64,262,266,15,4,NA,NA,inconsistent,3,negative,positive,inconsistent,CN,0,-1,1,-2,inconsistent,0,inconsistent,0,-1,1,-2
255,CN,1,statement,fact,NA,NA,100,80,389,427,20,38,NA,NA,somewhat inconsistent,2,neutral,negative,inconsistent,CN,0,0,-1,1,inconsistent,0,inconsistent,0,0,-1,1
256,CN,1,yesno,opinion,probably yes,probably no,156,145,600,681,11,81,4,2,somewhat inconsistent,2,positive,negative,inconsistent,CN,0,1,-1,2,inconsistent,0,inconsistent,0,1,-1,2
257,CN,1,yesno,fact,probably no,yes,169,172,621,698,-3,77,2,5,inconsistent,3,positive,negative,inconsistent,CN,0,1,-1,2,inconsistent,0,inconsistent,0,1,-1,2
258,CN,1,statement,opinion,NA,NA,140,157,616,504,-17,-112,NA,NA,consistent,0,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
259,CN,1,yesno,fact,not sure,no,100,88,369,384,12,15,3,1,somewhat inconsistent,2,negative,negative,inconsistent,CN,0,-1,-1,0,inconsistent,0,inconsistent,0,0,-1,1
260,CN,1,yesno,fact,probably yes,no,95,217,731,294,-122,-437,4,1,inconsistent,3,neutral,negative,inconsistent,CN,0,0,-1,1,inconsistent,0,inconsistent,0,0,-1,1
261,CN,1,yesno,fact,not sure,not sure,205,200,695,630,5,-65,3,3,consistent,0,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,0,-1
262,CN,1,yesno,fact,yes,yes,157,200,719,550,-43,-169,5,5,consistent,0,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
263,CN,1,yesno,opinion,no,yes,81,131,571,326,-50,-245,1,5,inconsistent,3,positive,negative,inconsistent,CN,0,1,-1,2,inconsistent,0,inconsistent,0,1,-1,2
264,CN,1,statement,fact,NA,NA,135,124,396,519,11,123,NA,NA,consistent,0,neutral,negative,consistent,CN,1,0,-1,1,consistent,1,consistent,1,0,-1,1
265,CN,1,statement,fact,NA,NA,156,164,648,582,-8,-66,NA,NA,consistent,0,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
266,CN,1,statement,fact,NA,NA,88,22,113,367,66,254,NA,NA,consistent,0,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
267,CN,1,statement,fact,NA,NA,128,129,435,419,-1,-16,NA,NA,consistent,0,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
268,CN,1,yesno,opinion,probably no,no,138,227,835,544,-89,-291,2,1,somewhat consistent,1,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
269,CN,1,yesno,fact,no,no,100,114,378,353,-14,-25,1,1,consistent,0,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
270,CN,1,statement,fact,NA,NA,229,330,1286,905,-101,-381,NA,NA,inconsistent,3,neutral,neutral,inconsistent,CN,0,0,0,0,inconsistent,0,inconsistent,0,0,0,0
271,CN,1,yesno,opinion,probably no,no,95,149,621,364,-54,-257,2,1,somewhat consistent,1,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
272,CN,1,yesno,fact,not sure,no,121,176,695,478,-55,-217,3,1,somewhat inconsistent,2,neutral,negative,inconsistent,CN,0,0,-1,1,inconsistent,0,inconsistent,0,0,-1,1
273,CN,1,yesno,fact,not sure,no,111,81,354,473,30,119,3,1,somewhat inconsistent,2,neutral,negative,inconsistent,CN,0,0,-1,1,inconsistent,0,consistent,1,-1,-1,0
274,CN,1,yesno,opinion,probably yes,yes,128,162,608,423,-34,-185,4,5,somewhat consistent,1,neutral,negative,consistent,CN,1,0,-1,1,consistent,1,consistent,1,0,-1,1
275,CN,1,yesno,opinion,not sure,not sure,86,169,634,307,-83,-327,3,3,consistent,0,neutral,neutral,consistent,CN,1,0,0,0,consistent,1,consistent,1,0,0,0
276,CN,1,yesno,fact,probably yes,probably no,103,117,497,336,-14,-161,4,2,somewhat inconsistent,2,negative,negative,inconsistent,CN,0,-1,-1,0,inconsistent,0,inconsistent,0,-1,-1,0
277,CN,1,yesno,fact,probably yes,yes,119,149,534,429,-30,-105,4,5,somewhat consistent,1,positive,negative,consistent,CN,1,1,-1,2,consistent,1,consistent,1,0,-1,1
278,CN,1,yesno,opinion,not sure,yes,232,149,586,877,83,291,3,5,somewhat inconsistent,2,neutral,negative,inconsistent,CN,0,0,-1,1,inconsistent,0,consistent,1,0,-1,1
279,CN,1,yesno,fact,yes,not sure,113,90,366,416,23,50,5,3,somewhat inconsistent,2,negative,neutral,inconsistent,CN,0,-1,0,-1,inconsistent,0,inconsistent,0,-1,0,-1
280,CN,1,yesno,fact,probably yes,yes,167,148,590,608,19,18,4,5,somewhat consistent,1,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
281,CN,1,yesno,fact,probably yes,yes,123,246,980,468,-123,-512,4,5,somewhat consistent,1,neutral,negative,consistent,CN,1,0,-1,1,consistent,1,consistent,1,0,-1,1
282,CN,1,yesno,opinion,not sure,yes,99,183,825,405,-84,-420,3,5,somewhat inconsistent,2,positive,negative,inconsistent,CN,0,1,-1,2,inconsistent,0,inconsistent,0,1,-1,2
283,CN,1,yesno,fact,no,yes,148,111,434,647,37,213,1,5,inconsistent,3,negative,neutral,inconsistent,CN,0,-1,0,-1,inconsistent,0,inconsistent,0,-1,0,-1
284,CN,1,yesno,opinion,yes,not sure,136,283,1086,517,-147,-569,5,3,somewhat inconsistent,2,positive,neutral,inconsistent,CN,0,1,0,1,inconsistent,0,inconsistent,0,1,0,1
285,CN,1,yesno,fact,probably no,probably yes,38,103,434,130,-65,-304,2,4,somewhat inconsistent,2,neutral,negative,inconsistent,CN,0,0,-1,1,inconsistent,0,inconsistent,0,0,-1,1
286,CN,1,yesno,opinion,not sure,not sure,59,101,442,199,-42,-243,3,3,consistent,0,positive,neutral,consistent,CN,1,1,0,1,consistent,1,consistent,1,1,0,1
287,CN,1,statement,fact,NA,NA,133,183,673,506,-50,-167,NA,NA,consistent,0,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,1,-2
288,CN,1,statement,fact,NA,NA,196,77,275,698,119,423,NA,NA,inconsistent,3,positive,neutral,inconsistent,CN,0,1,0,1,inconsistent,0,inconsistent,0,-1,0,-1
289,CN,1,yesno,fact,no,no,82,102,372,298,-20,-74,1,1,consistent,0,neutral,neutral,consistent,CN,1,0,0,0,consistent,1,consistent,1,0,1,-1
290,CN,1,statement,fact,NA,NA,290,636,2430,1147,-346,-1283,NA,NA,somewhat inconsistent,2,neutral,neutral,inconsistent,CN,0,0,0,0,consistent,1,consistent,1,0,-1,1
291,CN,1,statement,opinion,NA,NA,133,180,666,458,-47,-208,NA,NA,somewhat consistent,1,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
292,CN,1,statement,fact,NA,NA,46,83,288,209,-37,-79,NA,NA,inconsistent,3,positive,neutral,inconsistent,CN,0,1,0,1,inconsistent,0,inconsistent,0,1,0,1
293,CN,1,yesno,opinion,no,not sure,156,301,1071,657,-145,-414,1,3,somewhat inconsistent,2,positive,neutral,inconsistent,CN,0,1,0,1,inconsistent,0,consistent,1,1,0,1
294,CN,1,yesno,opinion,probably yes,yes,202,273,953,923,-71,-30,4,5,somewhat consistent,1,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,-1,-1,0
295,CN,1,yesno,opinion,probably no,not sure,111,152,646,485,-41,-161,2,3,somewhat consistent,1,positive,neutral,consistent,CN,1,1,0,1,consistent,1,consistent,1,1,0,1
296,CN,1,yesno,opinion,probably yes,yes,235,179,694,873,56,179,4,5,somewhat consistent,1,positive,neutral,consistent,CN,1,1,0,1,consistent,1,consistent,1,1,0,1
297,CN,1,statement,fact,NA,NA,85,29,72,321,56,249,NA,NA,consistent,0,neutral,neutral,consistent,CN,1,0,0,0,consistent,1,consistent,1,0,0,0
298,CN,1,statement,fact,NA,NA,194,136,576,707,58,131,NA,NA,consistent,0,positive,positive,consistent,CN,1,1,1,0,consistent,1,consistent,1,1,1,0
299,CN,1,yesno,opinion,probably yes,yes,86,124,471,300,-38,-171,4,5,somewhat consistent,1,neutral,negative,consistent,CN,1,0,-1,1,consistent,1,consistent,1,0,-1,1
300,CN,1,yesno,opinion,probably yes,yes,182,273,953,654,-91,-299,4,5,somewhat consistent,1,negative,negative,consistent,CN,1,-1,-1,0,consistent,1,consistent,1,0,-1,1
